Overall ROC AUC strong activation 0.788
gnaoAct 0.7916666666666667
gnaqAct 0.7571428571428572
gna15Act 0.6500000000000001
gnas2Act 0.9642857142857143
gnas13Act N/D
Overall ROC AUC binary amplitude 0.819
gnaoAmp 0.9333333333333333
gnaqAmp 0.7571428571428572
gna15Amp 0.7395833333333334
gnas2Amp 0.8397435897435898
gnas13Amp 0.47058823529411764
