GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
ADORA1,1.0,0.0,1.0,0.0,0.0
ADORA2A,1.0,0.0,0.0,1.0,0.0
ADORA2B,0.0,0.0,1.0,1.0,0.0
ADORA3,1.0,0.0,1.0,0.0,0.0
MTNR1A,1.0,0.0,1.0,0.0,0.0
MTNR1B,1.0,0.0,1.0,0.0,0.0
CNR1,1.0,0.0,1.0,0.0,1.0
EDNRA,1.0,1.0,0.0,0.0,0.0
EDNRB,1.0,1.0,0.0,0.0,1.0
AVPR1A,1.0,0.0,1.0,0.0,0.0
AVPR1B,1.0,0.0,0.0,0.0,0.0
AVPR2,1.0,0.0,1.0,0.0,0.0
MC1R,0.0,0.0,1.0,0.0,0.0
MC3R,0.0,0.0,1.0,0.0,0.0
MC4R,0.0,1.0,1.0,1.0,0.0
MC5R,1.0,0.0,1.0,0.0,1.0
NPY5R,1.0,0.0,0.0,0.0,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
FFAR4,1.0,0.0,1.0,0.0,0.0
OXTR,1.0,0.0,1.0,0.0,0.0
