Overall ROC AUC strong activation 0.638
gnaoAct 0.5672514619883041
gnaqAct 0.47916666666666663
gna15Act N/D
gnas2Act N/D
gnas13Act 0.5
Overall ROC AUC binary amplitude 0.654
gnaoAmp 0.5769230769230769
gnaqAmp 0.5208333333333334
gna15Amp 0.5538461538461539
gnas2Amp 0.8888888888888888
gnas13Amp 0.6695906432748538
