GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
GPR52,0.0,0.0,1.0,1.0,1.0
HTR1E,1.0,0.0,0.0,0.0,0.0
HTR2B,1.0,1.0,1.0,0.0,0.0
HTR7,1.0,0.0,0.0,0.0,0.0
ADORA1,1.0,0.0,1.0,0.0,0.0
ADORA2A,1.0,0.0,1.0,1.0,1.0
ADRA1D,0.0,1.0,1.0,0.0,0.0
ADRA2B,1.0,0.0,1.0,0.0,0.0
DRD1,1.0,0.0,1.0,1.0,0.0
GALR3,0.0,1.0,1.0,0.0,0.0
CNR1,1.0,0.0,1.0,0.0,1.0
GRPR,0.0,1.0,0.0,0.0,0.0
AVPR1B,1.0,1.0,1.0,0.0,0.0
NPY1R,1.0,0.0,0.0,0.0,0.0
NPY5R,1.0,0.0,0.0,0.0,0.0
TACR2,1.0,1.0,1.0,0.0,1.0
PTGER4,0.0,0.0,1.0,1.0,0.0
PTGDR,0.0,0.0,1.0,0.0,0.0
OXTR,1.0,1.0,1.0,0.0,0.0
