GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
GPR52,0.0,0.0,1.0,1.0,0.0
HTR2A,1.0,0.0,0.0,0.0,0.0
HTR2B,1.0,0.0,1.0,0.0,0.0
HTR2C,1.0,0.0,1.0,0.0,0.0
CHRM1,1.0,0.0,0.0,0.0,0.0
CHRM2,1.0,0.0,0.0,0.0,0.0
CHRM3,1.0,0.0,0.0,0.0,0.0
CHRM4,1.0,0.0,0.0,0.0,0.0
CHRM5,1.0,0.0,1.0,0.0,0.0
HRH1,1.0,0.0,0.0,0.0,0.0
HRH3,1.0,0.0,1.0,0.0,0.0
CNR1,1.0,0.0,1.0,1.0,1.0
AVPR1A,1.0,0.0,1.0,0.0,0.0
AVPR1B,1.0,0.0,0.0,0.0,0.0
AVPR2,1.0,1.0,1.0,0.0,1.0
MC1R,0.0,1.0,1.0,0.0,0.0
MC3R,1.0,0.0,1.0,1.0,0.0
MC4R,0.0,0.0,1.0,1.0,0.0
MC5R,1.0,0.0,1.0,0.0,0.0
PTGDR2,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,1.0,0.0,0.0,0.0
OXTR,1.0,0.0,1.0,0.0,0.0
