Overall ROC AUC strong activation 0.793
gnaoAct 0.7333333333333334
gnaqAct 0.8083333333333333
gna15Act 0.7205882352941175
gnas2Act 0.75
gnas13Act N/D
Overall ROC AUC binary amplitude 0.779
gnaoAmp 0.5729166666666667
gnaqAmp 0.8083333333333333
gna15Amp 0.7386363636363636
gnas2Amp 0.75
gnas13Amp 0.6642857142857143
