GPCR_NAME,gnaoAmp,gnaqAmp,gna15Amp,gnas2Amp,gnas13Amp
OXGR1,1.0,0.0,0.0,0.0,0.0
HTR1F,1.0,0.0,1.0,0.0,0.0
ADRA2A,1.0,0.0,0.0,0.0,0.0
ADRA2B,1.0,0.0,1.0,0.0,0.0
ADRA2C,1.0,0.0,1.0,0.0,0.0
DRD1,0.0,0.0,1.0,1.0,0.0
DRD4,1.0,0.0,0.0,0.0,0.0
HRH3,1.0,1.0,1.0,0.0,0.0
MTNR1B,0.0,0.0,1.0,0.0,0.0
BDKRB2,1.0,0.0,1.0,0.0,0.0
MC1R,1.0,0.0,1.0,1.0,0.0
NPY2R,1.0,0.0,1.0,0.0,0.0
PTGER1,0.0,0.0,1.0,1.0,0.0
FFAR4,1.0,0.0,1.0,0.0,0.0
LPAR3,1.0,1.0,1.0,0.0,0.0
HCRTR2,1.0,1.0,1.0,0.0,1.0
CXCR4,1.0,0.0,0.0,0.0,0.0
SSTR3,1.0,0.0,1.0,0.0,0.0
SSTR4,1.0,0.0,0.0,0.0,0.0
