Overall ROC AUC strong activation 0.832
gnaoAct 0.6730769230769231
gnaqAct 0.7023809523809523
gna15Act 0.9444444444444444
gnas2Act 0.9722222222222222
gnas13Act N/D
Overall ROC AUC binary amplitude 0.815
gnaoAmp 0.6666666666666667
gnaqAmp 0.7670454545454546
gna15Amp 0.7202380952380953
gnas2Amp 0.7205882352941175
gnas13Amp 0.8083333333333333
